Heavy metals (ppm),Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
iron,0.093,0.089,0.091,0.087,0.099,0.081,0.083,0.095,0.089,0.085,0.090,0.084
zinc,0.057,0.051,0.053,0.016,0.001,0.013,0.046,0.054,0.059,0.054,0.048,0.053
copper,0.021,0.029,0.023,0.018,0.016,0.041,0.051,0.058,0.068,0.071,0.085,0.089
manganese,0.054,0.074,0.051,0.048,0.037,0.028,0.020,0.028,0.031,0.034,0.041,0.043
nickel,0.068,0.067,0.059,0.074,0.062,0.059,0.043,0.036,0.039,0.035,0.036,0.033
chromium,0.051,0.048,0.038,0.032,0.018,0.025,0.038,0.031,0.038,0.040,0.042,0.048
cobalt,0.009,0.010,0.008,0.005,0.012,0.004,0.007,0.008,0.011,0.006,0.008,0.007
lead,0.009,0.005,0.011,0.007,0.009,0.008,0.012,0.010,0.010,0.014,0.009,0.010
